Property ID,Total Unit,Type,Address,Company
MH 1171,25,MH,"1171 W 37th Pl,Los Angeles, CA 90007",Lida Real Estate Investment LLC
MH 1151,17,MH,"1151 West 37th Dr,Los Angeles, CA 90007",1153 37th Dr Development LLC
MH 1334,14,MH,"1334 W 37th Pl,Los Angeles, CA 90007",Tom Wu
MH 1340,20,MH,,MR Cal Development LLC
MH 2015,17,MH,"2015 Raymond Ave,Los Angeles, CA 90007",MF Development LLC
MH 1181,16,MH,"1181 Rolland Curtis Pl,Los Angeles, CA 90037",Wenhao Mu
MH 416,26,MH,"416 N La Fayette Park Pl,Los Angeles, CA 90026",Lida Real Estate Investment LLC
MH 5401,11,MH,"5401 Carlin St,Los Angeles, CA 90016",McW Development LLC
MH 1530,31,MH,"1530 W 37th St, Los Angeles, CA 90018",MX USC Development LLC
MH 1419,34,MH,"1419 W 35th St ,Los Angeles, CA 90018",MR Cal Development LLC
MH 1186,45,MH,"1184 W 37th Pl, Los Angeles, CA, 90007",MW USC Development LLC
MH 1314,34,MH,"1314 W 35th Pl, Los Angeles, CA 90007",USC VILLAS 1314 LLC
MH 1252,39,MH,"1252 West 37th Street Los Angeles, CA 90007",MT USC Development LLC
MH 3001,34,MH,"3001 Van Buren Pl, Los Angeles, CA 90007",USC Villas 3001 LLC
MH 1297,31,MH,"1297-1299 W 36th St, Los Angeles, CA, 90007",MW USC Development LLC
MH 1326,70,MH,"1326-1332 W 35th Pl,Los Angeles, CA 90007",USC Villas No1 LLC 
MH 1137,7,MH,"1137 W 37th Dr,Los Angeles, CA 90007",Liping Tan
MH 3505,4,MH,"3505 Raymond Ave,Los Angeles, CA 90007",Liping Tan
MH 1377,34,MH,"1377 W 36th Pl,Los Angeles, CA 90007",USC Development 1377 LLC
MH 1348PL,21,MH,"1348 W 35th Pl, Los Angeles, CA 90007",USC Development 1377 LLC
MH 1348ST,,MH,,MW USC Development II LLC
MH 1270,26,MH,"1270 Rolland Curtis, Los Angeles, CA 90037",USC Development 1270 LLC
MH 3430,32,MH,"3430 Walton Avenue, Los Angeles, CA 90007",MR Cal Development LLC
MH 1204,30,MH,"1204 W 37th Drive, Los Angeles, CA 90007",Moo house Development LLC
MH 1223,36,MH,"1223 W 37th D, Los Angeles, CA 90007",USC DEVELOPMENT 1223 LLC
MH 1165,35,MH,"1167 W 37th Pl, Los Angeles, CA 90007",Moo house Development LLC
ML1348,13,ML,,Moo Housing Inc
ML3111,12,ML,,Moo Housing Inc
